task_name,id,definition,inputs,targets
task089_swap_words_verification,task089-f6563f72efa746f386c3bb833165c37c,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A holds couple hands as they walk down a bus street,"(2, 3)"
task089_swap_words_verification,task089-12fe71608d0a47999796547a933a76dd,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Man pointing at a sticker on paper a,"(7, 8)"
task1346_glue_cola_grammatical_correctness_classification,task1346-99661033a983410391e8e4176ad8d823,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The baby dressed.,1
task109_smsspamcollection_spamsmsdetection,task109-09a0857d6899440890ddc38b041b4386,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham
task089_swap_words_verification,task089-e6b0b2cba8974cc4a7b59aabf1e35ff4,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A is man holding a product at a convention,"(2, 3)"
task1346_glue_cola_grammatical_correctness_classification,task1346-01d5fd0fa76c4f6893bb6b0f615c6776,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","Although no one else believes it, Harry believes that Sally is innocent.",1
task089_swap_words_verification,task089-337b0e26c2be4e83b5c56f1d4b082cc0,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",The frying pan has two large spoons it in,"(8, 9)"
task955_wiki_auto_style_transfer,task955-dae3ea74a3d74b1fad7388760239e42c,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","Kagoshima ( 鹿児島市 , Kagoshima-shi ) is a Japanese city in Kagoshima Prefecture on the island of Kyushu .","Kagoshima ( 鹿児島市 , Kagoshima-shi , -RSB- ) is the capital city of Kagoshima Prefecture at the south western tip of the island of Kyushu in Japan , and the largest city in the prefecture by some margin ."
task1346_glue_cola_grammatical_correctness_classification,task1346-1711d422bd3e4419b7bcc41f22c39fdb,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The hot potato which there were several hundred people yelling for me to put down gently turned out to have been filled with TNT.,1
task1346_glue_cola_grammatical_correctness_classification,task1346-a39feb9c96f749049dbabf98c81f2d21,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Fruit dropped from the tree.,1
task089_swap_words_verification,task089-7ddf6c962ab14f78b4f715040e966fe2,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A young boy with plays his video game controller,"(4, 5)"
task089_swap_words_verification,task089-910c65ffc8e94407a3d7346e37d4a8f8,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Men with on helmets motorcycles driving on a hilly road,"(3, 4)"
task1346_glue_cola_grammatical_correctness_classification,task1346-5ec84366ced5435c9d8061bce4315efb,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",He's an as reliable man.,0
task089_swap_words_verification,task089-96255bb85d52453ea2a0a2df84dc485a,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",The stop sign blue has and white spray paint on it,"(4, 5)"
task1346_glue_cola_grammatical_correctness_classification,task1346-14ce70c60269446db83cda331934b284,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","I, I like beer.",0
task089_swap_words_verification,task089-cbfdd3a1701d4795abb5f40a9ce45fb0,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A of group skateboarders riding and others waiting to go,"(2, 3)"
task089_swap_words_verification,task089-b5544d31853a4e739638b2c0400e041a,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",a adult elephant walks next a to baby elephant,"(6, 7)"
task1346_glue_cola_grammatical_correctness_classification,task1346-61a5fd469ae14966aff5555527af8969,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The lute which Henry plays and sings madrigals is warped.,0
task089_swap_words_verification,task089-a5e789a409274327b1ef2b3b471fe485,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Double decker bus the on street near a stop light,"(4, 5)"
task955_wiki_auto_style_transfer,task955-9d8505d34f024124806f7f9f4da7544d,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","A doppler effect happens because the Sun , and the Milky Way are moving at nearly 600 km / s .","Such a Doppler effect arises because the Sun , and in fact the Milky Way as a whole , is not stationary , but rather is moving at nearly 600 km / s with respect to the last scattering surface ."
task955_wiki_auto_style_transfer,task955-be2b6cc100b443f58c6a97d9e00366c5,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","The University of Houston is a public university in Houston , Texas .","The University of Houston ( UH ) is a public research university in Houston , Texas and the main institution of the University of Houston System ."
task1346_glue_cola_grammatical_correctness_classification,task1346-f1272d0ebbd24bad9867956bd6f54810,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",John considers him a nice guy.,1
task1346_glue_cola_grammatical_correctness_classification,task1346-3ebcccb4932b414d94031c2ee69c9d5e,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","It is important for the more you to eat, the more careful for you to be.",0
task089_swap_words_verification,task089-f6ddab0d248d4251b0c2746ff0a2da4f,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",An adorable caleco cat underneath sitting a bicycle,"(5, 6)"
task1346_glue_cola_grammatical_correctness_classification,task1346-bda2ee85ebd1454e9eb0bf442b667739,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","Because into the room came Aunt Norris, Fanny stopped talking.",0
task089_swap_words_verification,task089-7cb8874b5e1548c795940a2fb162b95b,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",An old lady sitting a on bench with a big stuffed bear,"(5, 6)"
task089_swap_words_verification,task089-270e9d59fd4d477db5e860a851958f0d,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A stop sigh at Failing has Street graffiti on it,"(6, 7)"
task089_swap_words_verification,task089-72cb03e6317a4158b5bcd0b355d3a3bf,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A man riding water on skis top of a lake,"(5, 6)"
task1346_glue_cola_grammatical_correctness_classification,task1346-eb165af15f3a4620b656880e8077be32,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Bill coughed out the window.,1
task1346_glue_cola_grammatical_correctness_classification,task1346-214d64edb3ec44d599b2401905561f1a,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The roses bloomed.,1
task955_wiki_auto_style_transfer,task955-aa3553f6dde849f486d7807429283398,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","Sengkang MRT / LRT Station NE16 STC is a railway station in Sengkang , north-east Singapore .","Sengkang MRT / LRT station ( NE16 / STC ) is a Mass Rapid Transit ( MRT ) and Light Rail Transit ( LRT ) interchange station in Sengkang , Singapore ."
task109_smsspamcollection_spamsmsdetection,task109-bee1c06a512a48249d1da22aa001cc4f,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,ham
task955_wiki_auto_style_transfer,task955-cef0af35f1754aa1bf6fa904525e95e5,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","By obfuscating the data before encryption , brute force attacks are less effective and more difficult to determine .",Brute-force attacks can be made less effective by obfuscating the data to be encoded making it more difficult for an attacker to recognize when the code has been cracked or by making the attacker do more work to test each guess .
task585_preposition_classification,task585-d212cab6a5094bacb6ce014041ea3414,"In this task, you're given an input that contains two words, and your task is to predict the correct preposition that connects these two words. Predict the preposition that explicitly conveys both words' meaning, e.g., Word1: king 
 Word2: fort: ""king of fort"". Possible prepositions are: ""of"", ""on"", ""in"", ""for"", ""from"", ""about"", and ""with"".","Word1: one 
 Word2: family",in
task1346_glue_cola_grammatical_correctness_classification,task1346-054885d06d214fbf87c3973aaf1d6b5f,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The car honked down the road.,0
task089_swap_words_verification,task089-f0973b8724c74b9baacff130a9d76092,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A giraffe that is standing a in field,"(6, 7)"
task089_swap_words_verification,task089-a2841e63868f4974bedad53b3098b1a6,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",People riding an as elephant other elephants follow,"(4, 5)"
task089_swap_words_verification,task089-f0dd0794e6b74c1da6334f5745b668e1,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",There is railroad a light with two red lights,"(3, 4)"
task1346_glue_cola_grammatical_correctness_classification,task1346-8523efeb43d34a65879b8a40ed9b75e6,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Her stepmother always clad her in black.,0
task089_swap_words_verification,task089-00c0d5d6014c4290ac1cb7058c563e32,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A guy is speaking front in of a large crowd,"(5, 6)"
task109_smsspamcollection_spamsmsdetection,task109-e59f0848888f435d8eec07d9a0c7ad2b,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham
task955_wiki_auto_style_transfer,task955-6b5aea68c0de4d1cb7a9d722e52818d5,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","Besides the tumor itself , the target for the radiation may also include the lymph nodes that drain the area .","Besides the tumour itself , the radiation fields may also include the draining lymph nodes if they are clinically or radiologically involved with tumor , or if there is thought to be a risk of subclinical malignant spread ."
task089_swap_words_verification,task089-940bd9111b0f46d2a2494a37a41552af,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",There are two birds eating from bird a feeder,"(7, 8)"
task089_swap_words_verification,task089-446a515c00cd405fb23a2e19484a013a,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A trader displaying vegetables tomatoes including carrots kales and fruits,"(5, 6)"
task1346_glue_cola_grammatical_correctness_classification,task1346-467a9da00c4542a5a26dddc7244cef8e,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",He washed himself.,1
task089_swap_words_verification,task089-0b7a43ebf4f2460da7cdba73641d62ee,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A white fishing boat under goes a bridge,"(5, 6)"
task109_smsspamcollection_spamsmsdetection,task109-278f238cad974e3bb9cbc322a476c528,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.","Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",ham
task1346_glue_cola_grammatical_correctness_classification,task1346-798b57d5d08c49e0add026d5e033ad9b,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","No student, who wears socks, is a swinger.",0
task1346_glue_cola_grammatical_correctness_classification,task1346-09e8399fed0f43e7b3eea05acaafdb45,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","Harry thinks so, although no one else thinks Sally is innocent.",0
task1346_glue_cola_grammatical_correctness_classification,task1346-de1a71450d2f4edf8f4469c87a44cf6c,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Which picture of himself does Mary think that John said that Susan likes?,1
task1346_glue_cola_grammatical_correctness_classification,task1346-28e1ab733afd42cea382ba308aa0d524,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","No student, and he wears socks, is a swinger.",0
task109_smsspamcollection_spamsmsdetection,task109-9bab73b3df1d455e8c6ae942724254ca,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,ham
task089_swap_words_verification,task089-40b754ed735f406a980925c89760e855,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Men gathered around an open of trunk a car near a surf board display,"(6, 7)"
task089_swap_words_verification,task089-0525651bbdfc44b0839216a632cd5a6a,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A bowl filled with ripe sitting bananas next to oranges,"(6, 7)"
task089_swap_words_verification,task089-05a5d6320cd642e1b1f80c706973e969,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A white plate of vegetables a and sandwich,"(6, 7)"
task089_swap_words_verification,task089-454035344873431cb8fed00f7504ba52,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A man is skateboarding the on ramp in front of a crowd,"(5, 6)"
task1346_glue_cola_grammatical_correctness_classification,task1346-dec467ccb03c4c9aaa02fc6bba89b053,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","Fluffy is sick, which I'm not sure you know Sarah expects me to believe Joan realizes.",1
task089_swap_words_verification,task089-ec0824e465514ec98cd46630b628e88a,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",cat a wearing a tie standing while another cat sneaks up on it,"(1, 2)"
task089_swap_words_verification,task089-83cd24fa9cab4654b2bfa5dd415c4387,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A young tennis player is the swinging racket to hit the ball,"(6, 7)"
task1346_glue_cola_grammatical_correctness_classification,task1346-e8ebc65867734d9fb2eb34f266f5957d,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","Although Dick is handsome, I'm still going marry Herman.",1
task955_wiki_auto_style_transfer,task955-f03df13df5da4533bbd31ca7f57252f7,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","Then , white dwarfs with masses over the limit would gravitationally collapse into a neutron star or black hole .","Consequently , a white dwarf with a mass greater than the limit is subject to further gravitational collapse , evolving into a different type of stellar remnant , such as a neutron star or black hole ."
task1346_glue_cola_grammatical_correctness_classification,task1346-5abd28431ef44101b75b231e2ed4d4c8,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","While I might want to, this is the kind of thing that Harris has already suggested.",1
task1346_glue_cola_grammatical_correctness_classification,task1346-d525728be1cb44989cf9c8501fea7d73,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The capital was gathered near by a crowd of people.,0
task089_swap_words_verification,task089-55c8f6ec2e9644659e7de33cbe9bea22,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",small A giraffe with its face resting on a rock,"(1, 2)"
task089_swap_words_verification,task089-a08d56af80914f52b3503fb4c057603e,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A living room with leather a furniture couch and a painting,"(6, 7)"
task1346_glue_cola_grammatical_correctness_classification,task1346-fb8587697334471fa04a2ccb61490106,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",We peered at the baby.,1
task089_swap_words_verification,task089-5b5f6d63d31e49338e17cac06894fa3b,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Group of people riding the on back of an open green truck,"(5, 6)"
task089_swap_words_verification,task089-bf201187024e45aaa7f1127a7f04c6c7,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Two posing men for a picture with ties on,"(2, 3)"
task089_swap_words_verification,task089-34e532a9d6a5424795b0cbec35e84bd9,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A light that is on between mirrors two,"(7, 8)"
task1346_glue_cola_grammatical_correctness_classification,task1346-2fbddb2ecfe04d0baa91b16a0bc87135,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Fido is the smarter dog than Spot.,0
task089_swap_words_verification,task089-311433b3b55648ffbc273502f26fee7a,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A filled cart with boxes next to a large bamboo basket,"(2, 3)"
task1346_glue_cola_grammatical_correctness_classification,task1346-683311b58e2e4aa6bba90609a7eeca81,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",John is being discussed and Sally is being too.,0
task585_preposition_classification,task585-131c83b568bc4416b58c2f7adeca7071,"In this task, you're given an input that contains two words, and your task is to predict the correct preposition that connects these two words. Predict the preposition that explicitly conveys both words' meaning, e.g., Word1: king 
 Word2: fort: ""king of fort"". Possible prepositions are: ""of"", ""on"", ""in"", ""for"", ""from"", ""about"", and ""with"".","Word1: bank 
 Word2: investment",for
task1346_glue_cola_grammatical_correctness_classification,task1346-0ff732992f1b45ff97aae6c2d3d6c765,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",A hefty sum of money came to him from his grandfather.,1
task089_swap_words_verification,task089-5bcda4fc817f4867abb71a7fd6d58dca,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A young man and woman a playing game of soccer,"(6, 7)"
task089_swap_words_verification,task089-e29b191f964749b2ad757a920b226646,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A midair collision as players several go for the same ball,"(5, 6)"
task089_swap_words_verification,task089-f6c3ae431d694f66a23db02cd857624e,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A couple of street signs hanging from the of side a traffic signal,"(9, 10)"
task089_swap_words_verification,task089-e43fb3e94f88451ab51aee48c470a2f7,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A person half covered a by blue sheet laying on their side,"(5, 6)"
task109_smsspamcollection_spamsmsdetection,task109-dd70a905acb645b7aa211c028dfb5b92,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.","Pls send me a comprehensive mail about who i'm paying, when and how much.",ham
task089_swap_words_verification,task089-7e8de5438c564610bd64d7482621182d,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A motor scooter parked in front of a next building to a cat,"(9, 10)"
task089_swap_words_verification,task089-00f4939a61ca474594c251fe250f7738,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A sleeps cat on a wooden bench outside,"(2, 3)"
task089_swap_words_verification,task089-5f5d5cb4ee6c4d44ba69e1d49eada8ac,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",a small boy on standing a rug in the living room,"(4, 5)"
task1346_glue_cola_grammatical_correctness_classification,task1346-426d8548e058459dbeb395343f8953ea,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The dog barked out of the room.,0
